"State","PriceAverage"
"Alabama",380.285024673947
"Alaska",332.328024792208
"Arizona",338.832102365613
"Arkansas",381.854436826303
"California",258.98998937351
"Colorado",260.580446283381
"Connecticut",380.081573926487
"Delaware",386.564678180804
"Florida",329.496580880812
"Georgia",371.812854912966
"Hawaii",331.846524187234
"Idaho",306.414186399142
"Illinois",390.678287873043
"Indiana",358.131194534194
"Iowa",390.429774224346
"Kansas",371.542254913044
"Kentucky",372.269579629601
"Louisiana",396.327556633888
"Maine",338.103535042667
"Maryland",401.401944370709
"Massachusetts",381.544132358912
"Michigan",323.02895854823
"Minnesota",372.964713866781
"Mississippi",368.456120612546
"Missouri",384.809753727486
"Montana",285.796771244856
"Nebraska",361.608936754986
"Nevada",289.083168715496
"New Hampshire",382.546265826087
"New Jersey",385.709905412721
"New Mexico",317.988042717213
"New York",375.530235296025
"North Carolina",386.638950015251
"North Dakota",439.375204247312
"Ohio",361.932483820777
"Oklahoma",402.728985091002
"Oregon",234.050922089438
"Pennsylvania",393.953116780174
"Rhode Island",360.705669436975
"South Carolina",379.965368068096
"South Dakota",387.783267238095
"Tennessee",382.744474483064
"Texas",372.823391813867
"Utah",311.797210691466
"Vermont",387.127606438424
"Virginia",406.399141798301
"Washington",257.46369230304
"West Virginia",382.636609871041
"Wisconsin",386.235900998217
"Wyoming",352.587512054054
