"State","HQLQ","HQMQ"
" Alabama",1.99307991488889,1.62899904154722
" Alaska",1.02591585982922,1.02114014827685
" Arizona",1.78855680030351,1.20428716563902
" Arkansas",2.44477018046246,1.55780909102361
" California",1.44204930156545,1.1890870852379
" Colorado",1.04499274000014,1.08570223887006
" Connecticut",1.80281991871848,1.16340825414105
" Delaware",2.268027753445,1.35309559376407
" Florida",1.97742592462526,1.26067718694277
" Georgia",2.14593736136469,1.44649475508155
" Hawaii",1.50712970051806,1.05622410263094
" Idaho",1.33010195278677,1.01711099763633
" Illinois",1.90232554667215,1.16140794109097
" Indiana",2.20018519158238,1.55719531893469
" Iowa",1.70635215815612,1.15531068945732
" Kansas",2.23525277106613,1.24317212624374
" Kentucky",1.95960360653575,1.60843190455811
" Louisiana",2.66234448640903,1.32780746701892
" Maine",1.55604132534355,1.14331574873807
" Maryland",1.85936781185979,1.33349285591196
" Massachusetts",1.82245446850669,1.14147179142145
" Michigan",1.70910770700479,1.20832660349406
" Minnesota",1.80363475065383,1.07524785905298
" Mississippi",2.28018574195276,1.69767186075108
" Missouri",2.53877559584242,1.35502409728269
" Montana",1.04783878515636,1.05167143202795
" Nebraska",2.48857019001846,1.28011602898352
" Nevada",1.2191257191051,1.06151667862674
" New Hampshire",1.8348310337815,1.15366586209809
" New Jersey",1.42664364486119,1.11110635633326
" New Mexico",1.79264233764292,1.16729277073486
" New York",1.92233255513996,1.17287479389095
" North Carolina",2.36600323024679,1.37726419442677
" North Dakota",1.18585577463893,1.12708914812688
" Ohio",2.09111758591037,1.52569608523792
" Oklahoma",3.23870553592243,1.45443366887337
" Oregon",1.30010226069927,1.08063681418125
" Pennsylvania",1.99774990474657,1.31449857349549
" Rhode Island",1.92270002123951,1.1813542239712
" South Carolina",2.7096042821892,1.61781458669203
" South Dakota",1.38744169179652,1.06122236609712
" Tennessee",2.06568569058587,1.421486201227
" Texas",2.30808022261919,1.24696233929584
" Utah",1.53331291117508,1.06438214226495
" Vermont",1.82869293996609,1.14383125312795
" Virginia",1.78425057253109,1.34007273142408
" Washington",1.13454586967039,1.08936659409562
" West Virginia",1.60524559694084,1.48294219474115
" Wisconsin",1.86078584953706,1.18975975982967
" Wyoming",1.18966684792595,0.948788815046341
